Date;Fitted_values
19/04/2001;-201.7066275
20/04/2001;-210.580252
23/04/2001;-223.1396504
24/04/2001;-223.3638282
25/04/2001;-211.8423691
26/04/2001;-191.8979685
27/04/2001;-171.2558952
30/04/2001;-167.9648413
01/05/2001;-149.3196055
02/05/2001;-140.3511876
03/05/2001;-150.004161
04/05/2001;-131.9077375
07/05/2001;-131.7240928
08/05/2001;-139.4636779
09/05/2001;-150.0296797
10/05/2001;-144.5585475
11/05/2001;-146.5357205
14/05/2001;-151.7552358
15/05/2001;-143.7240198
16/05/2001;-99.39146657
17/05/2001;-83.8265682
18/05/2001;-79.56610951
21/05/2001;-64.13673
22/05/2001;-65.8023893
23/05/2001;-87.51921062
24/05/2001;-85.09788977
25/05/2001;-110.923121
29/05/2001;-122.4824049
30/05/2001;-149.0492347
31/05/2001;-149.6920886
01/06/2001;-149.9818289
04/06/2001;-144.3762101
05/06/2001;-120.2955405
06/06/2001;-117.7803626
07/06/2001;-121.1807576
08/06/2001;-123.952962
11/06/2001;-136.3148668
12/06/2001;-132.0292287
13/06/2001;-146.87799
14/06/2001;-166.3707894
15/06/2001;-166.4782006
18/06/2001;-173.1782372
19/06/2001;-168.5155643
20/06/2001;-163.0878711
21/06/2001;-150.6785014
22/06/2001;-154.7698563
25/06/2001;-155.1397148
26/06/2001;-164.0894366
27/06/2001;-162.5747825
28/06/2001;-143.8378243
29/06/2001;-137.4149725
02/07/2001;-124.7599984
03/07/2001;-132.7541123
05/07/2001;-148.5650602
06/07/2001;-178.0391715
09/07/2001;-172.0264959
10/07/2001;-196.2329726
11/07/2001;-198.2318905
12/07/2001;-172.9441271
13/07/2001;-166.5477651
16/07/2001;-183.3782591
17/07/2001;-174.7980874
18/07/2001;-173.9516849
19/07/2001;-151.8303227
20/07/2001;-163.7423161
23/07/2001;-174.6106535
24/07/2001;-195.7507581
25/07/2001;-175.0594296
26/07/2001;-158.7135667
27/07/2001;-148.1106721
30/07/2001;-141.0595147
31/07/2001;-133.2584525
01/08/2001;-125.9282612
02/08/2001;-125.3247452
03/08/2001;-134.7177631
06/08/2001;-142.986722
07/08/2001;-133.1352916
08/08/2001;-159.0398558
09/08/2001;-155.0342963
10/08/2001;-146.4163362
13/08/2001;-138.0886977
14/08/2001;-143.4342895
15/08/2001;-159.0167336
16/08/2001;-155.4483271
17/08/2001;-170.9079942
20/08/2001;-162.9793422
21/08/2001;-182.1209098
22/08/2001;-173.8412033
23/08/2001;-180.3207368
24/08/2001;-162.6219484
27/08/2001;-168.7024581
28/08/2001;-188.7100189
29/08/2001;-198.3398732
30/08/2001;-206.7789902
31/08/2001;-211.1338405
04/09/2001;-201.4242555
05/09/2001;-200.2969238
06/09/2001;-223.65486
07/09/2001;-247.4008269
10/09/2001;-237.7506041
17/09/2001;-281.6708118
18/09/2001;-293.8794202
19/09/2001;-311.7665506
20/09/2001;-349.2048682
21/09/2001;-374.9326743
24/09/2001;-332.9172388
25/09/2001;-310.2136668
26/09/2001;-315.774801
27/09/2001;-298.2776407
28/09/2001;-269.5401672
01/10/2001;-259.6267381
