Date,Residuals
2000-08-30,-0.006034965746182624
2000-08-31,0.009542357815615288
2000-09-01,0.003348787635726538
2000-09-05,-0.00942644064935525
2000-09-06,-0.011477627300018322
2000-09-07,0.005072662986102955
2000-09-08,-0.004118355649608521
2000-09-11,-0.004720089694774014
2000-09-12,-0.006324357749395083
2000-09-13,0.0014145767839480782
2000-09-14,-0.0034497379821256517
2000-09-15,-0.010881098775137545
2000-09-18,-0.016151953250717704
2000-09-19,0.008918074323061928
2000-09-20,-0.0059376981215830925
2000-09-21,-0.0018926797977990009
2000-09-22,-0.0007329618931142786
2000-09-25,-0.007682885261370205
2000-09-26,-0.009617921801272107
2000-09-27,-0.0009667951879927639
2000-09-28,0.022047233201668903
2000-09-29,-0.01288301073235147
2000-10-02,-0.0024047369082595433
